movieName,ReleaseYear
Oxen,1991
Sunes sommar,1993
Jägarna,1996
Jalla! Jalla!,2000
Sånger från andra våningen,2000
Det nya landet ,2000
Tillsammans,2000
Den osynlige,2002
Saraband,2003
Masjävlar,2004
Dag och natt,2004
Kim Novak badade aldrig i Genesarets sjö,2005
När mörkret faller,2006
Inga tårar,2006
Underbara älskade,2006
Låt den rätte komma in,2008
Himlens hjärta ,2008
I skuggan av värmen,2009
Himlen är oskyldigt blå,2010
Svinalängorna,2010
Snabba cash,2010
Simon och ekarna,2011
Call Girl,2012
Vi är bäst! ,2013
Aterträffen,2013
Vi är bäst!,2014
Filip & Fredrik presenterar Trevligt folk,2015
Midsommar,2019
Pelle Svanslös,2020
